model,group,total_queries,correct,correct_pct,permutation_error,permutation_pct,true_error,true_error_pct
bert_hard,co-citation,241,13,5.39,20,8.3,208,86.31
bert_random,co-citation,241,54,22.41,85,35.27,102,42.32
bm25,co-citation,241,40,16.6,62,25.73,139,57.68
gemma_4_e4b,co-citation,241,39,16.18,56,23.24,146,60.58
llama3_1_8b,co-citation,241,30,12.45,47,19.5,164,68.05
scibert_hard,co-citation,241,10,4.15,15,6.22,216,89.63
scibert_random,co-citation,241,55,22.82,96,39.83,90,37.34
